Class Name,Config Option,Description
HighAvailabilityOptions,high-availability.zookeeper.client.connection-timeout,Defines the connection timeout for ZooKeeper.
HighAvailabilityOptions,high-availability.zookeeper.client.retry-wait,Defines the pause between consecutive retries.
HighAvailabilityOptions,high-availability.zookeeper.client.max-retry-attempts,Defines the number of connection retries before the client gives up.
HighAvailabilityOptions,high-availability.zookeeper.path.running-registry,Don't use this option anymore. It has no effect on Flink. The RunningJobRegistry has been replaced by the JobResultStore in Flink 1.15.
HighAvailabilityOptions,high-availability.zookeeper.client.acl,Defines the ACL (open|creator) to be configured on ZK node. The configuration value can be set to “creator” if the ZooKeeper server configuration has the “authProvider” property mapped to use SASLAuthenticationProvider and the cluster is configured to run in secure mode (Kerberos).
HighAvailabilityOptions,high-availability.zookeeper.client.tolerate-suspended-connections,"Defines whether a suspended ZooKeeper connection will be treated as an error that causes the leader information to be invalidated or not. In case you set this option to <code class=""highlighter-rouge"">true</code>, Flink will wait until a ZooKeeper connection is marked as lost before it revokes the leadership of components. This has the effect that Flink is more resilient against temporary connection instabilities at the cost of running more likely into timing issues with ZooKeeper."
HighAvailabilityOptions,high-availability.zookeeper.client.ensemble-tracker,Defines whether Curator should enable ensemble tracker. This can be useful in certain scenarios in which CuratorFramework is accessing to ZK clusters via load balancer or Virtual IPs. Default Curator EnsembleTracking logic watches CuratorEventType.GET_CONFIG events and changes ZooKeeper connection string. It is not desired behaviour when ZooKeeper is running under the Virtual IPs. Under certain configurations EnsembleTracking can lead to setting of ZooKeeper connection string with unresolvable hostnames.
HighAvailabilityOptions,high-availability.zookeeper.client.authorization,"Add connection authorization Subsequent calls to this method overwrite the prior calls. In certain cases ZooKeeper requires additional Authorization information. For example list of valid names for ensemble in order to prevent accidentally connecting to a wrong ensemble. Each entry of type Map.Entry&lt;String, String&gt; will be transformed into an AuthInfo object with the constructor AuthInfo(String, byte[]). The field entry.key() will serve as the String scheme value, while the field entry.getValue() will be initially converted to a byte[] using the String#getBytes() method with UTF-8 encoding. If not set the default configuration for a Curator would be applied."
HighAvailabilityOptions,high-availability.zookeeper.client.max-close-wait,Defines the time Curator should wait during close to join background threads. If not set the default configuration for a Curator would be applied.
HighAvailabilityOptions,high-availability.zookeeper.client.simulated-session-expiration-percent,"The percentage set by this method determines how and if Curator will check for session expiration. See Curator documentation for <a href=""https://curator.apache.org/apidocs/org/apache/curator/framework/CuratorFrameworkFactory.Builder.html#simulatedSessionExpirationPercent(int)"">simulatedSessionExpirationPercent</a> property for more information."
HighAvailabilityOptions,high-availability.job.delay,The time before a JobManager after a fail over recovers the current jobs.
DeploymentOptionsInternal,$internal.deployment.config-dir,**DO NOT USE** The path to the configuration directory.
SecurityOptions,security.context.factory.classes,"List of factories that should be used to instantiate a security context. If multiple are configured, Flink will use the first compatible factory. You should have a NoOpSecurityContextFactory in this list as a fallback."
SecurityOptions,security.module.factory.classes,List of factories that should be used to instantiate security modules. All listed modules will be installed. Keep in mind that the configured security context might rely on some modules being present.
SecurityOptions,security.kerberos.login.principal,Kerberos principal name associated with the keytab.
SecurityOptions,security.kerberos.login.keytab,Absolute path to a Kerberos keytab file that contains the user credentials.
SecurityOptions,security.kerberos.krb5-conf.path,"Specify the local location of the krb5.conf file. If defined, this conf would be mounted on the JobManager and TaskManager containers/pods for Kubernetes and Yarn. Note: The KDC defined needs to be visible from inside the containers."
SecurityOptions,security.kerberos.login.use-ticket-cache,Indicates whether to read from your Kerberos ticket cache.
SecurityOptions,security.kerberos.login.contexts,"A comma-separated list of login contexts to provide the Kerberos credentials to (for example, `Client,KafkaClient` to use the credentials for ZooKeeper authentication and for Kafka authentication)"
SecurityOptions,security.kerberos.fetch.delegation-token,"Indicates whether to fetch the delegation tokens for external services the Flink job needs to contact. Only HDFS and HBase are supported. It is used in Yarn deployments. If true, Flink will fetch HDFS and HBase delegation tokens and inject them into Yarn AM containers. If false, Flink will assume that the delegation tokens are managed outside of Flink. As a consequence, it will not fetch delegation tokens for HDFS and HBase. You may need to disable this option, if you rely on submission mechanisms, e.g. Apache Oozie, to handle delegation tokens."
SecurityOptions,security.kerberos.relogin.period,The time period when keytab login happens automatically in order to always have a valid TGT.
SecurityOptions,security.kerberos.tokens.renewal.retry.backoff,The time period how long to wait before retrying to obtain new delegation tokens after a failure.
SecurityOptions,security.kerberos.tokens.renewal.time-ratio,Ratio of the tokens's expiration time when new credentials should be re-obtained.
SecurityOptions,security.kerberos.access.hadoopFileSystems,"A semicolon-separated list of Kerberos-secured Hadoop filesystems Flink is going to access. For example, security.kerberos.access.hadoopFileSystems=hdfs://namenode2:9002;hdfs://namenode3:9003. The JobManager needs to have access to these filesystems to retrieve the security tokens."
SecurityOptions,security.delegation.tokens.enabled,Indicates whether to start delegation tokens system for external services.
SecurityOptions,security.delegation.tokens.renewal.retry.backoff,The time period how long to wait before retrying to obtain new delegation tokens after a failure.
SecurityOptions,security.delegation.tokens.renewal.time-ratio,Ratio of the tokens's expiration time when new credentials should be re-obtained.
SecurityOptions,enabled,"Controls whether to obtain credentials for services when security is enabled. By default, credentials for all supported services are retrieved when those services are configured, but it's possible to disable that behavior if it somehow conflicts with the application being run."
SecurityOptions,zookeeper.sasl.disable,
SecurityOptions,zookeeper.sasl.service-name,
SecurityOptions,zookeeper.sasl.login-context-name,
SecurityOptions,security.ssl.enabled,"Turns on SSL for internal and external network communication.This can be overridden by 'security.ssl.internal.enabled', 'security.ssl.external.enabled'. Specific internal components (rpc, data transport, blob server) may optionally override this through their own settings."
SecurityOptions,security.ssl.internal.enabled,"Turns on SSL for internal network communication. Optionally, specific components may override this through their own settings (rpc, data transport, REST, etc)."
SecurityOptions,security.ssl.rest.enabled,Turns on SSL for external communication via the REST endpoints.
SecurityOptions,security.ssl.rest.authentication-enabled,Turns on mutual SSL authentication for external communication via the REST endpoints.
SecurityOptions,security.ssl.keystore,The Java keystore file to be used by the flink endpoint for its SSL Key and Certificate.
SecurityOptions,security.ssl.keystore-password,The secret to decrypt the keystore file.
SecurityOptions,security.ssl.key-password,The secret to decrypt the server key in the keystore.
SecurityOptions,security.ssl.truststore,The truststore file containing the public CA certificates to be used by flink endpoints to verify the peer’s certificate.
SecurityOptions,security.ssl.truststore-password,The secret to decrypt the truststore.
SecurityOptions,security.ssl.internal.keystore,"The Java keystore file with SSL Key and Certificate, to be used Flink's internal endpoints (rpc, data transport, blob server)."
SecurityOptions,security.ssl.internal.keystore-password,"The secret to decrypt the keystore file for Flink's for Flink's internal endpoints (rpc, data transport, blob server)."
SecurityOptions,security.ssl.internal.key-password,"The secret to decrypt the key in the keystore for Flink's internal endpoints (rpc, data transport, blob server)."
SecurityOptions,security.ssl.internal.keystore-type,"The type of keystore for Flink's internal endpoints (rpc, data transport, blob server)."
SecurityOptions,security.ssl.internal.truststore,"The truststore file containing the public CA certificates to verify the peer for Flink's internal endpoints (rpc, data transport, blob server)."
SecurityOptions,security.ssl.internal.truststore-password,"The password to decrypt the truststore for Flink's internal endpoints (rpc, data transport, blob server)."
SecurityOptions,security.ssl.internal.truststore-type,"The type of truststore for Flink's internal endpoints (rpc, data transport, blob server)."
SecurityOptions,security.ssl.internal.cert.fingerprint,The sha1 fingerprint of the internal certificate. This further protects the internal communication to present the exact certificate used by Flink.This is necessary where one cannot use private CA(self signed) or there is internal firm wide CA is required
SecurityOptions,security.ssl.rest.keystore,"The Java keystore file with SSL Key and Certificate, to be used Flink's external REST endpoints."
SecurityOptions,security.ssl.rest.keystore-password,The secret to decrypt the keystore file for Flink's for Flink's external REST endpoints.
SecurityOptions,security.ssl.rest.key-password,The secret to decrypt the key in the keystore for Flink's external REST endpoints.
SecurityOptions,security.ssl.rest.keystore-type,The type of the keystore for Flink's external REST endpoints.
SecurityOptions,security.ssl.rest.truststore,The truststore file containing the public CA certificates to verify the peer for Flink's external REST endpoints.
SecurityOptions,security.ssl.rest.truststore-password,The password to decrypt the truststore for Flink's external REST endpoints.
SecurityOptions,security.ssl.rest.truststore-type,The type of the truststore for Flink's external REST endpoints.
SecurityOptions,security.ssl.rest.cert.fingerprint,The sha1 fingerprint of the rest certificate. This further protects the rest REST endpoints to present certificate which is only used by proxy serverThis is necessary where once uses public CA or internal firm wide CA
SecurityOptions,security.ssl.protocol,The SSL protocol version to be supported for the ssl transport. Note that it doesn’t support comma separated list.
SecurityOptions,security.ssl.algorithms,"The comma separated list of standard SSL algorithms to be supported. Read more <a href=""http://docs.oracle.com/javase/8/docs/technotes/guides/security/StandardNames.html#ciphersuites"">here</a>"
SecurityOptions,security.ssl.verify-hostname,Flag to enable peer’s hostname verification during ssl handshake.
SecurityOptions,security.ssl.provider,"The SSL engine provider to use for the ssl transport:<ul><li><code class=""highlighter-rouge"">JDK</code>: default Java-based SSL engine</li><li><code class=""highlighter-rouge"">OPENSSL</code>: openSSL-based SSL engine using system libraries</li></ul><code class=""highlighter-rouge"">OPENSSL</code> is based on <a href=""http://netty.io/wiki/forked-tomcat-native.html#wiki-h2-4"">netty-tcnative</a> and comes in two flavours:<ul><li>dynamically linked: This will use your system's openSSL libraries (if compatible) and requires <code class=""highlighter-rouge"">opt/flink-shaded-netty-tcnative-dynamic-*.jar</code> to be copied to <code class=""highlighter-rouge"">lib/</code></li><li>statically linked: Due to potential licensing issues with openSSL (see <a href=""https://issues.apache.org/jira/browse/LEGAL-393"">LEGAL-393</a>), we cannot ship pre-built libraries. However, you can build the required library yourself and put it into <code class=""highlighter-rouge"">lib/</code>:<br /><code class=""highlighter-rouge"">git clone https://github.com/apache/flink-shaded.git &amp;&amp; cd flink-shaded &amp;&amp; mvn clean package -Pinclude-netty-tcnative-static -pl flink-shaded-netty-tcnative-static</code></li></ul>"
SecurityOptions,security.ssl.internal.session-cache-size,"The size of the cache used for storing SSL session objects. According to <a href=""https://github.com/netty/netty/issues/832"">here</a>, you should always set this to an appropriate number to not run into a bug with stalling IO threads during garbage collection. (-1 = use system default)."
SecurityOptions,security.ssl.internal.session-timeout,The timeout (in ms) for the cached SSL session objects. (-1 = use system default)
SecurityOptions,security.ssl.internal.handshake-timeout,The timeout (in ms) during SSL handshake. (-1 = use system default)
SecurityOptions,security.ssl.internal.close-notify-flush-timeout,The timeout (in ms) for flushing the `close_notify` that was triggered by closing a channel. If the `close_notify` was not flushed in the given timeout the channel will be closed forcibly. (-1 = use system default)
PipelineOptions,pipeline.name,The job name used for printing and logging.
PipelineOptions,pipeline.jars,A semicolon-separated list of the jars to package with the job jars to be sent to the cluster. These have to be valid paths.
PipelineOptions,pipeline.classpaths,A semicolon-separated list of the classpaths to package with the job jars to be sent to the cluster. These have to be valid URLs.
PipelineOptions,pipeline.auto-generate-uids,"When auto-generated UIDs are disabled, users are forced to manually specify UIDs on DataStream applications.<br /><br />It is highly recommended that users specify UIDs before deploying to production since they are used to match state in savepoints to operators in a job. Because auto-generated ID's are likely to change when modifying a job, specifying custom IDs allow an application to evolve over time without discarding state."
PipelineOptions,pipeline.auto-type-registration,Controls whether Flink is automatically registering all types in the user programs with Kryo.
PipelineOptions,pipeline.auto-watermark-interval,"The interval of the automatic watermark emission. Watermarks are used throughout the streaming system to keep track of the progress of time. They are used, for example, for time based windowing."
PipelineOptions,pipeline.closure-cleaner-level,Configures the mode in which the closure cleaner works.
PipelineOptions,pipeline.force-avro,"Forces Flink to use the Apache Avro serializer for POJOs.<br /><br />Important: Make sure to include the <code class=""highlighter-rouge"">flink-avro</code> module."
PipelineOptions,pipeline.force-kryo,"If enabled, forces TypeExtractor to use Kryo serializer for POJOS even though we could analyze as POJO. In some cases this might be preferable. For example, when using interfaces with subclasses that cannot be analyzed as POJO."
PipelineOptions,pipeline.force-kryo-avro,"Forces Flink to register avro classes in kryo serializer.<br /><br />Important: Make sure to include the flink-avro module. Otherwise, nothing will be registered. For backward compatibility, the default value is empty to conform to the behavior of the older version. That is, always register avro with kryo, and if flink-avro is not in the class path, register a dummy serializer. In Flink-2.0, we will set the default value to true."
PipelineOptions,pipeline.generic-types,"If the use of generic types is disabled, Flink will throw an <code class=""highlighter-rouge"">UnsupportedOperationException</code> whenever it encounters a data type that would go through Kryo for serialization.<br /><br />Disabling generic types can be helpful to eagerly find and eliminate the use of types that would go through Kryo serialization during runtime. Rather than checking types individually, using this option will throw exceptions eagerly in the places where generic types are used.<br /><br />We recommend to use this option only during development and pre-production phases, not during actual production use. The application program and/or the input data may be such that new, previously unseen, types occur at some point. In that case, setting this option would cause the program to fail."
PipelineOptions,pipeline.global-job-parameters,"Register a custom, serializable user configuration object. The configuration can be  accessed in operators"
PipelineOptions,pipeline.jobvertex-parallelism-overrides,A parallelism override map (jobVertexId -&gt; parallelism) which will be used to update the parallelism of the corresponding job vertices of submitted JobGraphs.
PipelineOptions,pipeline.max-parallelism,The program-wide maximum parallelism used for operators which haven't specified a maximum parallelism. The maximum parallelism specifies the upper limit for dynamic scaling and the number of key groups used for partitioned state. Changing the value explicitly when recovery from original job will lead to state incompatibility. Must be less than or equal to 32768.
PipelineOptions,pipeline.object-reuse,When enabled objects that Flink internally uses for deserialization and passing data to user-code functions will be reused. Keep in mind that this can lead to bugs when the user-code function of an operation is not aware of this behaviour.
PipelineOptions,pipeline.default-kryo-serializers,"Semicolon separated list of pairs of class names and Kryo serializers class names to be used as Kryo default serializers<br /><br />Example:<br /><code class=""highlighter-rouge"">class:org.example.ExampleClass,serializer:org.example.ExampleSerializer1; class:org.example.ExampleClass2,serializer:org.example.ExampleSerializer2</code>"
PipelineOptions,pipeline.registered-kryo-types,"Semicolon separated list of types to be registered with the serialization stack. If the type is eventually serialized as a POJO, then the type is registered with the POJO serializer. If the type ends up being serialized with Kryo, then it will be registered at Kryo to make sure that only tags are written."
PipelineOptions,pipeline.registered-pojo-types,"Semicolon separated list of types to be registered with the serialization stack. If the type is eventually serialized as a POJO, then the type is registered with the POJO serializer. If the type ends up being serialized with Kryo, then it will be registered at Kryo to make sure that only tags are written."
PipelineOptions,pipeline.serialization-config,"List of pairs of class names and serializer configs to be used. There is a <code class=""highlighter-rouge"">type</code> field in the serializer config and each type has its own configuration. Note: only standard YAML config parser is supported, please use ""config.yaml"" as the config file. The fields involved are:<ul><li><code class=""highlighter-rouge"">type</code>: the serializer type which could be ""pojo"", ""kryo"" or ""typeinfo"". If the serializer type is ""pojo"" or ""kryo"" without field <code class=""highlighter-rouge"">kryo-type</code>, it means the data type will use POJO or Kryo serializer directly.</li><li><code class=""highlighter-rouge"">kryo-type</code>: the Kryo serializer type which could be ""default"" or ""registered"". The Kryo serializer will use the serializer for the data type  as default serializers when the kryo-type is ""default"", and register the data type and its serializer to Kryo serializer when the kryo-type is registered. When the field exists, there must be a field <code class=""highlighter-rouge"">class</code> to specify the serializer class name.</li><li><code class=""highlighter-rouge"">class</code>: the serializer class name for type ""kryo"" or ""typeinfo"". For ""kryo"", it should be a subclass of <code class=""highlighter-rouge"">com.esotericsoftware.kryo.Serializer</code>. For ""typeinfo"", it should be a subclass of <code class=""highlighter-rouge"">org.apache.flink.api.common.typeinfo.TypeInfoFactory</code>.</li></ul>Example:<br /><code class=""highlighter-rouge"">[org.example.ExampleClass1: {type: pojo}, org.example.ExampleClass2: {type: kryo}, org.example.ExampleClass3: {type: kryo, kryo-type: default, class: org.example.Class3KryoSerializer}, org.example.ExampleClass4: {type: kryo, kryo-type: registered, class: org.example.Class4KryoSerializer}, org.example.ExampleClass5: {type: typeinfo, class: org.example.Class5TypeInfoFactory}]</code>"
PipelineOptions,pipeline.operator-chaining.enabled,Operator chaining allows non-shuffle operations to be co-located in the same thread fully avoiding serialization and de-serialization.
PipelineOptions,pipeline.operator-chaining.chain-operators-with-different-max-parallelism,Operators with different max parallelism can be chained together. Default behavior may prevent rescaling when the AdaptiveScheduler is used.
PipelineOptions,pipeline.cached-files,"Files to be registered at the distributed cache under the given name. The files will be accessible from any user-defined function in the (distributed) runtime under a local path. Files may be local files (which will be distributed via BlobServer), or files in a distributed file system. The runtime will copy the files temporarily to a local cache, if needed.<br /><br />Example:<br /><code class=""highlighter-rouge"">name:file1,path:'file:///tmp/file1';name:file2,path:'hdfs:///tmp/file2'</code>"
PipelineOptions,pipeline.vertex-description-mode,The mode how we organize description of a job vertex.
PipelineOptions,pipeline.vertex-name-include-index-prefix,"Whether name of vertex includes topological index or not. When it is true, the name will have a prefix of index of the vertex, like '[vertex-0]Source: source'. It is false by default"
PipelineOptions,pipeline.watermark-alignment.allow-unaligned-source-splits,"If watermark alignment is used, sources with multiple splits will attempt to pause/resume split readers to avoid watermark drift of source splits. However, if split readers don't support pause/resume, an UnsupportedOperationException will be thrown when there is an attempt to pause/resume. To allow use of split readers that don't support pause/resume and, hence, to allow unaligned splits while still using watermark alignment, set this parameter to true. The default value is false. Note: This parameter may be removed in future releases."
BlobServerOptions,blob.storage.directory,"The config parameter defining the local storage directory to be used by the blob server. If not configured, then it will default to &lt;WORKING_DIR&gt;/blobStorage."
BlobServerOptions,blob.fetch.retries,The config parameter defining number of retires for failed BLOB fetches.
BlobServerOptions,blob.fetch.num-concurrent,The config parameter defining the maximum number of concurrent BLOB fetches that the JobManager serves.
BlobServerOptions,blob.fetch.backlog,"The config parameter defining the desired backlog of BLOB fetches on the JobManager.Note that the operating system usually enforces an upper limit on the backlog size based on the <code class=""highlighter-rouge"">SOMAXCONN</code> setting."
BlobServerOptions,blob.server.port,The config parameter defining the server port of the blob service.
BlobServerOptions,blob.service.ssl.enabled,Flag to override ssl support for the blob service transport.
BlobServerOptions,blob.service.cleanup.interval,Cleanup interval of the blob caches at the task managers (in seconds).
BlobServerOptions,blob.offload.minsize,The minimum size for messages to be offloaded to the BlobServer.
BlobServerOptions,blob.client.socket.timeout,The socket timeout in milliseconds for the blob client.
BlobServerOptions,blob.client.connect.timeout,The connection timeout in milliseconds for the blob client.
MetricOptions,metrics.reporters,"An optional list of reporter names. If configured, only reporters whose name matches any of the names in the list will be started. Otherwise, all reporters that could be found in the configuration will be started."
MetricOptions,class,The reporter class to use for the reporter named &lt;name&gt;.
MetricOptions,factory.class,The reporter factory class to use for the reporter named &lt;name&gt;.
MetricOptions,interval,The reporter interval to use for the reporter named &lt;name&gt;. Only applicable to push-based reporters.
MetricOptions,scope.delimiter,The delimiter used to assemble the metric identifier for the reporter named &lt;name&gt;.
MetricOptions,scope.variables.additional,The map of additional variables that should be included for the reporter named &lt;name&gt;. Only applicable to tag-based reporters.
MetricOptions,scope.variables.excludes,The set of variables that should be excluded for the reporter named &lt;name&gt;. Only applicable to tag-based reporters.
MetricOptions,filter.includes,"The metrics that should be included for the reporter named &lt;name&gt;. Filters are specified as a list, with each filter following this format:<br /><code class=""highlighter-rouge"">&lt;scope&gt;[:&lt;name&gt;[,&lt;name&gt;][:&lt;type&gt;[,&lt;type&gt;]]]</code><br />A metric matches a filter if the scope pattern and at least one of the name patterns and at least one of the types match.<br /><ul><li>scope: Filters based on the logical scope.<br />Specified as a pattern where <code class=""highlighter-rouge"">*</code> matches any sequence of characters and <code class=""highlighter-rouge"">.</code> separates scope components.<br /><br />For example:<br /> ""<code class=""highlighter-rouge"">jobmanager.job</code>"" matches any job-related metrics on the JobManager,<br /> ""<code class=""highlighter-rouge"">*.job</code>"" matches all job-related metrics and<br /> ""<code class=""highlighter-rouge"">*.job.*</code>"" matches all metrics below the job-level (i.e., task/operator metrics etc.).<br /><br /></li><li>name: Filters based on the metric name.<br />Specified as a comma-separate list of patterns where <code class=""highlighter-rouge"">*</code> matches any sequence of characters.<br /><br />For example, ""<code class=""highlighter-rouge"">*Records*,*Bytes*</code>"" matches any metrics where the name contains <code class=""highlighter-rouge"">""Records"" or ""Bytes""</code>.<br /><br /></li><li>type: Filters based on the metric type. Specified as a comma-separated list of metric types: <code class=""highlighter-rouge"">[counter, meter, gauge, histogram]</code></li></ul>Examples:<ul><li>""<code class=""highlighter-rouge"">*:numRecords*</code>"" Matches metrics like <code class=""highlighter-rouge"">numRecordsIn</code>.</li><li>""<code class=""highlighter-rouge"">*.job.task.operator:numRecords*</code>"" Matches metrics like <code class=""highlighter-rouge"">numRecordsIn</code> on the operator level.</li><li>""<code class=""highlighter-rouge"">*.job.task.operator:numRecords*:meter</code>"" Matches meter metrics like <code class=""highlighter-rouge"">numRecordsInPerSecond</code> on the operator level.</li><li>""<code class=""highlighter-rouge"">*:numRecords*,numBytes*:counter,meter</code>"" Matches all counter/meter metrics like or <code class=""highlighter-rouge"">numRecordsInPerSecond</code>.</li></ul>"
MetricOptions,filter.excludes,"The metrics that should be excluded for the reporter named &lt;name&gt;. The format is identical to <code class=""highlighter-rouge"">filter.includes</code><br />"
MetricOptions,<parameter>,Configures the parameter &lt;parameter&gt; for the reporter named &lt;name&gt;.
MetricOptions,metrics.scope.delimiter,Delimiter used to assemble the metric identifier.
MetricOptions,metrics.scope.jm,Defines the scope format string that is applied to all metrics scoped to a JobManager. Only effective when a identifier-based reporter is configured.
MetricOptions,metrics.scope.tm,Defines the scope format string that is applied to all metrics scoped to a TaskManager. Only effective when a identifier-based reporter is configured
MetricOptions,metrics.scope.jm-job,Defines the scope format string that is applied to all metrics scoped to a job on a JobManager. Only effective when a identifier-based reporter is configured
MetricOptions,metrics.scope.jm-operator,"Defines the scope format string that is applied to all metrics scoped to the components running on a JobManager of an Operator, like OperatorCoordinator for Source Enumerator metrics."
MetricOptions,metrics.scope.tm-job,Defines the scope format string that is applied to all metrics scoped to a job on a TaskManager. Only effective when a identifier-based reporter is configured
MetricOptions,metrics.scope.task,Defines the scope format string that is applied to all metrics scoped to a task. Only effective when a identifier-based reporter is configured
MetricOptions,metrics.scope.operator,Defines the scope format string that is applied to all metrics scoped to an operator. Only effective when a identifier-based reporter is configured
MetricOptions,metrics.latency.interval,Defines the interval at which latency tracking marks are emitted from the sources. Disables latency tracking if set to 0 or a negative value. Enabling this feature can significantly impact the performance of the cluster.
MetricOptions,metrics.latency.granularity,"Defines the granularity of latency metrics. Accepted values are:<ul><li>single - Track latency without differentiating between sources and subtasks.</li><li>operator - Track latency while differentiating between sources, but not subtasks.</li><li>subtask - Track latency while differentiating between sources and subtasks.</li></ul>"
MetricOptions,metrics.latency.history-size,Defines the number of measured latencies to maintain at each operator.
MetricOptions,metrics.system-resource,"Flag indicating whether Flink should report system resource metrics such as machine's CPU, memory or network usage."
MetricOptions,metrics.system-resource-probing-interval,Interval between probing of system resource metrics specified. Has an effect only when 'metrics.system-resource' is enabled.
MetricOptions,metrics.internal.query-service.port,"The port range used for Flink's internal metric query service. Accepts a list of ports (“50100,50101”), ranges(“50100-50200”) or a combination of both. It is recommended to set a range of ports to avoid collisions when multiple Flink components are running on the same machine. Per default Flink will pick a random port."
MetricOptions,metrics.internal.query-service.thread-priority,"The thread priority used for Flink's internal metric query service. The thread is created by Pekko's thread pool executor. The range of the priority is from 1 (MIN_PRIORITY) to 10 (MAX_PRIORITY). Warning, increasing this value may bring the main Flink components down."
MetricOptions,metrics.fetcher.update-interval,Update interval for the metric fetcher used by the web UI. Decrease this value for faster updating metrics. Increase this value if the metric fetcher causes too much load. Setting this value to 0 disables the metric fetching completely.
MetricOptions,metrics.job.status.enable,The selection of job status metrics that should be reported.
ExternalResourceOptions,external-resources,"List of the &lt;resource_name&gt; of all external resources with delimiter "";"", e.g. ""gpu;fpga"" for two external resource gpu and fpga. The &lt;resource_name&gt; will be used to splice related config options for external resource. Only the &lt;resource_name&gt; defined here will go into effect by external resource framework. Do not set the &lt;resource_name&gt; to 'none', which is preserved internally"
ExternalResourceOptions,external-resource.<resource_name>.driver-factory.class,"Defines the factory class name for the external resource identified by &lt;resource_name&gt;. The factory will be used to instantiated the ExternalResourceDriver at the TaskExecutor side. For example, org.apache.flink.externalresource.gpu.GPUDriverFactory"
ExternalResourceOptions,external-resource.<resource_name>.amount,The amount for the external resource specified by &lt;resource_name&gt; per TaskExecutor.
ExternalResourceOptions,external-resource.<resource_name>.param.<param>,The naming pattern of custom config options for the external resource specified by &lt;resource_name&gt;. Only the configurations that follow this pattern would be passed into the driver factory of that external resource.
AkkaOptions,pekko.ask.callstack,"If true, call stack for asynchronous asks are captured. That way, when an ask fails (for example times out), you get a proper exception, describing to the original method call and call site. Note that in case of having millions of concurrent RPC calls, this may add to the memory footprint."
AkkaOptions,pekko.ask.timeout,Timeout used for all futures and blocking Pekko calls. If Flink fails due to timeouts then you should try to increase this value. Timeouts can be caused by slow machines or a congested network. The timeout value requires a time-unit specifier (ms/s/min/h/d).
AkkaOptions,pekko.ask.timeout,Timeout used for all futures and blocking Pekko calls. If Flink fails due to timeouts then you should try to increase this value. Timeouts can be caused by slow machines or a congested network. The timeout value requires a time-unit specifier (ms/s/min/h/d).
AkkaOptions,pekko.tcp.timeout,"Timeout for all outbound connections. If you should experience problems with connecting to a TaskManager due to a slow network, you should increase this value."
AkkaOptions,pekko.startup-timeout,Timeout after which the startup of a remote component is considered being failed.
AkkaOptions,pekko.ssl.enabled,Turns on SSL for Pekko’s remote communication. This is applicable only when the global ssl flag security.ssl.enabled is set to true.
AkkaOptions,pekko.framesize,"Maximum size of messages which are sent between the JobManager and the TaskManagers. If Flink fails because messages exceed this limit, then you should increase it. The message size requires a size-unit specifier."
AkkaOptions,pekko.throughput,Number of messages that are processed in a batch before returning the thread to the pool. Low values denote a fair scheduling whereas high values can increase the performance at the cost of unfairness.
AkkaOptions,pekko.log.lifecycle.events,Turns on the Pekko’s remote logging of events. Set this value to 'true' in case of debugging.
AkkaOptions,pekko.lookup.timeout,Timeout used for the lookup of the JobManager. The timeout value has to contain a time-unit specifier (ms/s/min/h/d).
AkkaOptions,pekko.lookup.timeout,Timeout used for the lookup of the JobManager. The timeout value has to contain a time-unit specifier (ms/s/min/h/d).
AkkaOptions,akka.client.timeout,"DEPRECATED: Use the ""client.timeout"" instead. Timeout for all blocking calls on the client side."
AkkaOptions,pekko.jvm-exit-on-fatal-error,Exit JVM on fatal Pekko errors.
AkkaOptions,pekko.retry-gate-closed-for,Milliseconds a gate should be closed for after a remote connection was disconnected.
AkkaOptions,pekko.fork-join-executor.parallelism-factor,The parallelism factor is used to determine thread pool size using the following formula: ceil(available processors * factor). Resulting size is then bounded by the parallelism-min and parallelism-max values.
AkkaOptions,pekko.fork-join-executor.parallelism-min,Min number of threads to cap factor-based parallelism number to.
AkkaOptions,pekko.fork-join-executor.parallelism-max,Max number of threads to cap factor-based parallelism number to.
AkkaOptions,pekko.remote-fork-join-executor.parallelism-factor,The parallelism factor is used to determine thread pool size using the following formula: ceil(available processors * factor). Resulting size is then bounded by the parallelism-min and parallelism-max values.
AkkaOptions,pekko.remote-fork-join-executor.parallelism-min,Min number of threads to cap factor-based parallelism number to.
AkkaOptions,pekko.remote-fork-join-executor.parallelism-max,Max number of threads to cap factor-based parallelism number to.
AkkaOptions,pekko.client-socket-worker-pool.pool-size-min,Min number of threads to cap factor-based number to.
AkkaOptions,pekko.client-socket-worker-pool.pool-size-max,Max number of threads to cap factor-based number to.
AkkaOptions,pekko.client-socket-worker-pool.pool-size-factor,The pool size factor is used to determine thread pool size using the following formula: ceil(available processors * factor). Resulting size is then bounded by the pool-size-min and pool-size-max values.
AkkaOptions,pekko.server-socket-worker-pool.pool-size-min,Min number of threads to cap factor-based number to.
AkkaOptions,pekko.server-socket-worker-pool.pool-size-max,Max number of threads to cap factor-based number to.
AkkaOptions,pekko.server-socket-worker-pool.pool-size-factor,The pool size factor is used to determine thread pool size using the following formula: ceil(available processors * factor). Resulting size is then bounded by the pool-size-min and pool-size-max values.
